id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,operationalStatus,operationalStatus_agreement,operationalStatus_n_sources
court-lowell-immigration-court,immigration-court,Chelmsford Immigration Court,single,25017,"Middlesex County, MA",MA,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824",single,1,OPEN,single,1
court-lumpkin-immigration-court,immigration-court,Stewart Immigration Court,single,13239|13259,"Stewart County, GA|Quitman County, GA",GA,"146 CCA Road, PO Box 248, Lumpkin, GA 31815",single,1,OPEN,single,1
court-memphis-immigration-court,immigration-court,Memphis Immigration Court,single,47157,"Shelby County, TN",TN,"Brinkley Plaza - 80 Monroe Avenue, Suite 501, Memphis, TN 38103",single,1,OPEN Louisville Hearing Location: OPEN,single,1
court-miami-immigration-court,immigration-court,Miami Immigration Court,single,12086,"Miami-Dade County, FL",FL,"One Riverview Square, 333 S. Miami Avenue, Suite 700, Miami, FL 33130",single,1,OPEN,single,1
court-miami-krome-immigration-court,immigration-court,Miami Krome (Detained) Immigration Court,single,12086,"Miami-Dade County, FL",FL,"Krome North Processing Center, 18201 SW 12th Street, Miami, FL 33194",single,1,OPEN,single,1
court-new-orleans-immigration-court,immigration-court,New Orleans Immigration Court,single,22071,"Orleans Parish, LA",LA,"One Canal Place, 365 Canal Street, Suite 500, New Orleans, LA 70130",single,1,OPEN,single,1
court-new-york-broadway-immigration-court,immigration-court,New York - Broadway Immigration Court,single,36061,"New York County, NY",NY,"290 Broadway, Suite 2900, Ted Weiss Federal Building, New York, NY 10007",single,1,OPEN,single,1
court-new-york-federal-plaza-immigration-court,immigration-court,New York - Federal Plaza Immigration Court,single,36061,"New York County, NY",NY,"26 Federal Plaza, 12th Floor, Room 1237, New York, NY 10278",single,1,OPEN,single,1
court-new-york-varick-immigration-court,immigration-court,New York - Varick Immigration Court,single,36061,"New York County, NY",NY,"201 Varick Street, 5th Floor, Room 507, New York, NY 10014",single,1,OPEN,single,1
court-newark-immigration-court,immigration-court,Newark Immigration Court,single,34013,"Essex County, NJ",NJ,"970 Broad Street, Room 1200, Newark, NJ 07102",single,1,OPEN,single,1
court-oakdale-immigration-court,immigration-court,Oakdale Immigration Court,single,22003|22039|22079,"Allen Parish, LA|Rapides Parish, LA|Evangeline Parish, LA",LA,"1900 E. Whatley Road, Oakdale, LA 71463",single,1,OPEN,single,1
court-omaha-immigration-court,immigration-court,Omaha Immigration Court,single,31055,"Douglas County, NE",NE,"1717 Avenue H, Suite 100, Omaha, NE 68110",single,1,OPEN,single,1
court-orlando-immigration-court,immigration-court,Orlando Immigration Court,single,12095,"Orange County, FL",FL,"500 N. Orange Avenue, Suite 1100, Orlando, FL 32801",single,1,OPEN,single,1
court-otay-mesa-immigration-court,immigration-court,Otay Mesa Immigration Court,single,06073,"San Diego County, CA",CA,"7488 Calzada de la Fuente, San Diego, CA 92154",single,1,OPEN,single,1
court-otero-immigration-court,immigration-court,Otero Immigration Court,single,35013|35035,"Otero County, NM|Doña Ana County, NM",NM,"26 McGregor Range Road, Door #1, Chaparral, NM 88081",single,1,OPEN,single,1
court-pearsall-immigration-court,immigration-court,Pearsall Immigration Court,single,48163|48507,"Frio County, TX|Zavala County, TX",TX,"566 Veterans Drive, Pearsall, TX 78061",single,1,OPEN,single,1
court-philadelphia-pa,immigration-court,Philadelphia Immigration Court,single,42101,"Philadelphia County, PA",PA,"900 Market Street, Suite 504, Philadelphia, PA 19107",single,1,OPEN,single,1
court-phoenix-immigration-court,immigration-court,Phoenix Immigration Court,single,04013,"Maricopa County, AZ",AZ,"250 N. Seventh Avenue, Suite 300, Phoenix, AZ 85007",single,1,OPEN,single,1
court-portland-immigration-court,immigration-court,Portland Immigration Court,single,41051,"Multnomah County, OR",OR,"1220 SW 3rd Avenue, Suite 500, Portland, OR 97204",single,1,OPEN,single,1
court-sacramento-immigration-court,immigration-court,Sacramento Immigration Court,single,06067,"Sacramento County, CA",CA,"John Moss Federal Building, 650 Capitol Mall, Suite 4-200, Sacramento, CA 95814",single,1,OPEN,single,1
court-saipan-immigration-court,immigration-court,Saipan Immigration Court,single,69110,"Saipan Municipality, MP",MP,"Marina Heights II Building, Suite 301, Saipan, MP 96950",single,1,OPEN,single,1
court-salt-lake-city-immigration-court,immigration-court,Salt Lake City Immigration Court,single,49035,"Salt Lake County, UT",UT,"2975 South Decker Lake Drive, Suite 200, West Valley City, UT 84119",single,1,OPEN,single,1
court-san-antonio-immigration-court,immigration-court,San Antonio Immigration Court,single,48029,"Bexar County, TX",TX,"800 Dolorosa Street, Suite 300, San Antonio, TX 78207",single,1,OPEN,single,1
court-san-diego-immigration-court,immigration-court,San Diego Immigration Court,single,06073,"San Diego County, CA",CA,"880 Front Street, Suite 4240, San Diego, CA 92101",single,1,OPEN,single,1
court-san-francisco-immigration-court,immigration-court,San Francisco Immigration Court,single,06075,"San Francisco County, CA",CA,"100 Montgomery Street, Suite 800, San Francisco, CA 94104",single,1,Montgomery Street (Filings Only): OPEN Sansome Street: OPEN,single,1
court-santa-ana-immigration-court,immigration-court,Santa Ana Immigration Court,single,06059,"Orange County, CA",CA,"1241 East Dyer Road, Suite 200, Santa Ana, CA 92705",single,1,OPEN,single,1
court-seattle-immigration-court,immigration-court,Seattle Immigration Court,single,53033,"King County, WA",WA,"915 2nd Avenue, Suite 613, Seattle, WA 98174",single,1,OPEN,single,1
court-sterling-immigration-court,immigration-court,Sterling Immigration Court,single,51107,"Loudoun County, VA",VA,"21400 Ridgetop Circle, Suite 200, Sterling, VA 20166",single,1,OPEN,single,1
court-tacoma-immigration-court,immigration-court,Tacoma Immigration Court,single,53053,"Pierce County, WA",WA,"1623 East J Street, Suite 3, Tacoma, WA 98421",single,1,OPEN,single,1
court-tucson-immigration-court,immigration-court,Tucson Immigration Court,single,04019,"Pima County, AZ",AZ,"300 West Congress St., Suite 300, Tucson, AZ 85701",single,1,OPEN,single,1
court-ulster-immigration-court,immigration-court,Ulster Immigration Court,single,36105|36111,"Ulster County, NY|Sullivan County, NY",NY,"Ulster Correctional Facility, Berme Road, P.O. Box 800, Napanoch, NY 12458",single,1,OPEN,single,1
